instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
SB11,long,closed,2020-01-02 00:00:00+00:00,2020-06-16 00:00:00+00:00,20400.0,13.13,12.28,299994240.0,280573440.0,1120.0,-19420800.0,0.0,-19420800.0,-0.06473724295506474
SB11,short,closed,2020-06-16 00:00:00+00:00,2020-07-27 00:00:00+00:00,21812.0,12.28,12.120000000000001,299993523.2,296084812.8,1120.0,3908710.399999976,0.0,3908710.399999976,0.013029315960911973
SB11,long,closed,2020-07-27 00:00:00+00:00,2020-11-02 00:00:00+00:00,22100.0,12.12,14.97,299994240.0,370537440.0,1120.0,70543200.0,0.0,70543200.0,0.23514851485148514
SB11,short,closed,2020-11-02 00:00:00+00:00,2020-12-23 00:00:00+00:00,17892.0,14.969999999999999,14.83,299984428.8,297178963.2,1120.0,2805465.5999999046,0.0,2805465.5999999046,0.009352037408149314
SB11,long,closed,2020-12-23 00:00:00+00:00,2021-02-23 00:00:00+00:00,18061.0,14.83,17.01,299985985.6,344083723.20000005,1120.0,44097737.60000014,0.0,44097737.60000014,0.14699932569116703
SB11,short,closed,2021-02-23 00:00:00+00:00,2021-04-16 00:00:00+00:00,15747.0,17.01,16.57,299999246.40000004,292239124.8,1120.0,7760121.599999905,0.0,7760121.599999905,0.02586713697824777
SB11,long,closed,2021-04-16 00:00:00+00:00,2021-08-17 00:00:00+00:00,16165.0,16.57,20.02,299996536.0,362458096.0,1120.0,62461560.0,0.0,62461560.0,0.20820760410380204
SB11,short,closed,2021-08-17 00:00:00+00:00,2021-12-20 00:00:00+00:00,13379.0,20.02,18.59,299989289.6,278561483.2,1120.0,21427806.400000095,0.0,21427806.400000095,0.07142857142857174
SB11,long,closed,2021-12-20 00:00:00+00:00,2022-02-04 00:00:00+00:00,14408.0,18.589999999999996,18.23,299986086.4,294176780.8,1120.0,-5809305.599999905,0.0,-5809305.599999905,-0.019365250134480587
SB11,short,closed,2022-02-04 00:00:00+00:00,2022-03-01 00:00:00+00:00,14693.0,18.23,18.34,299995796.8,301805974.4,1120.0,-1810177.5999999046,0.0,-1810177.5999999046,-0.006034009873834021
SB11,long,closed,2022-03-01 00:00:00+00:00,2022-04-08 00:00:00+00:00,14605.0,18.34,20.41,299998384.0,333858616.0,1120.0,33860232.0,0.0,33860232.0,0.1128680479825518
SB11,short,closed,2022-04-08 00:00:00+00:00,2022-05-03 00:00:00+00:00,13123.0,20.41,18.62,299981281.59999996,273672291.2,1120.0,26308990.400000095,0.0,26308990.400000095,0.0877021068103874
SB11,long,closed,2022-05-03 00:00:00+00:00,2022-09-12 00:00:00+00:00,14385.0,18.62,18.35,299990544.0,295640520.0,1120.0,-4350024.0,0.0,-4350024.0,-0.014500537056928034
SB11,short,closed,2022-09-12 00:00:00+00:00,2022-12-06 00:00:00+00:00,14597.0,18.35,19.39,299997544.0,317000129.6,1120.0,-17002585.599999905,0.0,-17002585.599999905,-0.056675749318800775
SB11,long,closed,2022-12-06 00:00:00+00:00,2023-06-22 00:00:00+00:00,13814.0,19.39,24.969999999999995,299995875.20000005,386327849.59999996,1120.0,86331974.4000001,0.0,86331974.4000001,0.287777204744714
SB11,short,closed,2023-06-22 00:00:00+00:00,2023-08-17 00:00:00+00:00,10727.0,24.97,24.0,299995572.8,288341760.0,1120.0,11653812.799999952,0.0,11653812.799999952,0.03884661593912679
SB11,long,closed,2023-08-17 00:00:00+00:00,2023-09-18 00:00:00+00:00,11160.0,24.0,27.36,299980800.0,341978112.0,1120.0,41997312.0,0.0,41997312.0,0.14
SB11,short,closed,2023-09-18 00:00:00+00:00,2023-10-26 00:00:00+00:00,9790.0,27.360000000000003,27.04,299996928.0,296488192.0,1120.0,3508736.0,0.0,3508736.0,0.011695906432748537
SB11,long,closed,2023-10-26 00:00:00+00:00,2023-11-13 00:00:00+00:00,9905.0,27.040000000000003,27.709999999999997,299970944.0,307403656.0,1120.0,7432712.0,0.0,7432712.0,0.02477810650887574
SB11,short,closed,2023-11-13 00:00:00+00:00,2024-01-05 00:00:00+00:00,9666.0,27.709999999999997,21.11,299986243.2,228535171.2,1120.0,71451072.0,0.0,71451072.0,0.2381811620353663
SB11,long,closed,2024-01-05 00:00:00+00:00,2024-04-08 00:00:00+00:00,12688.0,21.11,21.59,299984921.59999996,306805990.4,1120.0,6821068.799999952,0.0,6821068.799999952,0.022738038844149537
SB11,short,closed,2024-04-08 00:00:00+00:00,2024-05-03 00:00:00+00:00,12406.0,21.59,19.28,299987004.79999995,267890201.60000002,1120.0,32096803.200000048,0.0,32096803.200000048,0.10699397869383992
SB11,long,closed,2024-05-03 00:00:00+00:00,2024-08-02 00:00:00+00:00,13893.0,19.28,18.1,299999884.8000001,281638896.0,1120.0,-18360988.799999952,0.0,-18360988.799999952,-0.06120331950207451
SB11,short,closed,2024-08-02 00:00:00+00:00,2024-08-28 00:00:00+00:00,14798.0,18.1,19.54,299985056.00000006,323851270.4,1120.0,-23866214.399999857,0.0,-23866214.399999857,-0.07955801104972327
SB11,long,closed,2024-08-28 00:00:00+00:00,2024-10-15 00:00:00+00:00,13708.0,19.54,22.82,299996838.40000004,350354547.2,1120.0,50357708.79999995,0.0,50357708.79999995,0.1678607983623335
SB11,short,closed,2024-10-15 00:00:00+00:00,2025-03-05 00:00:00+00:00,11737.0,22.820000000000004,18.2,299978940.8,239247008.0,1120.0,60731932.79999995,0.0,60731932.79999995,0.20245398773006118
SB11,long,closed,2025-03-05 00:00:00+00:00,2025-03-31 00:00:00+00:00,14717.0,18.2,18.86,299991327.99999994,310870134.4,1120.0,10878806.400000095,0.0,10878806.400000095,0.036263736263736586
SB11,short,closed,2025-03-31 00:00:00+00:00,2025-05-16 00:00:00+00:00,14202.0,18.86,17.52,299991686.4,278677324.8,1120.0,21314361.599999905,0.0,21314361.599999905,0.07104984093319162
SB11,long,closed,2025-05-16 00:00:00+00:00,2025-09-03 00:00:00+00:00,15288.0,17.52,16.03,299987251.2,274474636.8,1120.0,-25512614.399999857,0.0,-25512614.399999857,-0.08504566210045615
SB11,short,closed,2025-09-03 00:00:00+00:00,2026-05-13 00:00:00+00:00,16709.0,16.03,15.38,299986702.40000004,287822550.40000004,1120.0,12164152.0,0.0,12164152.0,0.040548970679975045
SB11,long,open,2026-05-13 00:00:00+00:00,,17415.0,15.38,,299983824.0,,1120.0,0.0,0.0,0.0,0.0
